Stock	Ticker	DivDate1	DivDate2	DivDate3	DivDate4	DivDate5	DivDate6	DivAmt1	DivAmt2	DivAmt3	DivAmt4	DivAmt5	DivAmt6	LastYrDivPerShare	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
BRITANNIA	NSE:BRITANNIA	08-04-2025	08-05-2024	4/13/2023	6/20/2022	5/25/2021	04-08-2021	75	0	0	0	0	0	75	0	0	0	0	0	0	0	75	0	0	0	0
BSE	NSE:BSE	5/14/2025	6/14/2024	08-04-2023	6/23/2022	08-05-2021	0	7.67	0	0	0	0	0	7.67	0	0	0	0	8	0	0	0	0	0	0	0
CAMS	NSE:CAMS	11-07-2025	08-08-2025	7/15/2025	02-07-2025	11-08-2024	08-12-2024	2.8	2.2	3.8	3.5	0	0	12.3	0	4	0	0	0	0	4	2	0	0	3	0
CANBK	NSE:CANBK	6/13/2025	6/14/2024	6/14/2023	6/15/2022	0	0	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0
CDSL	NSE:CDSL	08-07-2025	7/16/2024	8/25/2023	09-07-2022	9/13/2021	0	12.5	0	0	0	0	0	12.5	0	0	0	0	0	0	0	13	0	0	0	0
CEINSYSTECH	BOM:538734	9/22/2025	9/13/2024	09-08-2023	9/22/2022	9/22/2021	0	3.5	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	4	0	0	0
CENTRALBK	NSE:CENTRALBK	10/27/2025	7/25/2025	07-04-2025	0	0	0	0.2	0.2	0.19	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0
CIPLA	NSE:CIPLA	6/27/2025	08-02-2024	7/21/2023	08-08-2022	08-09-2021	0	16	0	0	0	0	0	16	0	0	0	0	0	16	0	0	0	0	0	0
COALINDIA	NSE:COALINDIA	11-04-2025	8/21/2025	08-06-2025	1/31/2025	11-05-2024	8/16/2024	10.25	5.15	5.5	5.6	0	0	26.5	6	0	0	0	0	0	0	11	0	0	10	0
COCHINSHIP	NSE:COCHINSHIP	11/18/2025	09-12-2025	02-12-2025	11/19/2024	9/23/2024	02-12-2024	4	2.25	3.5	0	0	0	9.75	0	4	0	0	0	0	0	0	2	0	4	0
COFORGE	NSE:COFORGE	10/31/2025	7/31/2025	05-09-2025	1/30/2025	10-11-2024	08-02-2024	4	4	3.8	3.8	0	0	15.6	4	0	0	0	4	0	4	0	0	4	0	0
COLPAL	NSE:COLPAL	11-03-2025	5/28/2025	11-04-2024	5/22/2024	11-06-2023	5/19/2023	24	27	0	0	0	0	51	0	0	0	0	27	0	0	0	0	0	24	0
CONCOR	NSE:CONCOR	11/20/2025	8/13/2025	06-06-2025	02-06-2025	11/14/2024	9/17/2024	2.6	1.6	1.6	3.4	0	0	9.2	0	3	0	0	0	2	0	2	0	0	3	0
DABUR	NSE:DABUR	11-07-2025	7/18/2025	11-08-2024	7/19/2024	11-10-2023	7/21/2023	2.75	5.25	0	0	0	0	8	0	0	0	0	0	0	5	0	0	0	3	0
DRREDDY	NSE:DRREDDY	07-10-2025	7/16/2024	07-11-2023	07-11-2022	07-09-2021	0	8	0	0	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
EIDPARRY	NSE:EIDPARRY	11/21/2023	4/21/2023	11/22/2022	03-10-2022	11/17/2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
